FREC;POT;POT;POT
FREC;POT;POT;POT
FREC;POT;POT;POT
FREC;POT;POT;POT
FREC;POT;POT;POT
2500;12;12;12
3000;12;12;12
3500;12;12;12
4000;14;14;14
4500;13;13;13
5000;13;13;13
5500;13;13;13
6000;12;12;12
6500;11;11;11
7000;11;11;11
7500;11;11;11
8000;12;12;12
8500;10;10;10
9000;10;10;10
9500;10;10;10
10000;8;8;8
10500;10;10;10
11000;9;9;9
11500;9;9;9
12000;7;7;7
12500;2;2;2
13000;2;2;2
13500;2;2;2
14000;1;1;1
14500;3;3;3
15000;3;3;3
15500;3;3;3
16000;4;4;4
16500;1;1;1
17000;1;1;1
17500;1;1;1
18000;0;0;0
