FREC;POT;POT;POT
FREC;POT;POT;POT
FREC;POT;POT;POT
FREC;POT;POT;POT
FREC;POT;POT;POT
2500;8;8;8
3000;16;16;16
3500;19;19;19
4000;19;19;19
4500;19;19;19
5000;18;18;18
5500;17;17;17
6000;15;15;15
6500;16;16;16
7000;14;14;14
7500;15;15;15
8000;12;12;12
8500;15;15;15
9000;14;14;14
9500;13;13;13
10000;11;11;11
10500;11;11;11
11000;10;10;10
11500;4;4;4
12000;3;3;3
12500;-4;-4;-4
13000;-3;-3;-3
13500;2;2;2
14000;6;6;6
14500;7;7;7
15000;6;6;6
15500;5;5;5
16000;6;6;6
16500;7;7;7
17000;3;3;3
17500;4;4;4
18000;4;4;4
